,ESTACION,ID,LINEA,geometry,buffer100,pobBuffer100,pobBuffer200,pobBuffer300,pobBuffer400,pobBuffer500,pobBuffer600,pobBuffer700,pobBuffer800
0,CASEROS,1.0,H,POINT (4197727.063387774 6141333.360672265),2274,2274,5626,9716,12467,17223,25336,30064,31948
1,INCLAN,2.0,H,POINT (4197593.042159097 6142056.945508167),2590,2590,7373,12348,15460,21159,30765,39093,49509
2,HUMBERTO 1,3.0,H,POINT (4197521.574693957 6142765.575720645),4249,4249,6710,11734,17725,26192,35992,49091,65221
3,VENEZUELA,4.0,H,POINT (4197366.159205765 6143655.914850389),4019,4019,8405,15591,27750,38110,51345,60900,75478
4,ONCE - 30 DE DICIEMBRE,5.0,H,POINT (4197299.286664494 6144366.822915621),2070,2070,6356,13809,23638,33255,48649,62329,79067
76,CORRIENTES,77.0,H,POINT (4197390.663593302 6144857.372727079),3221,3221,9771,14775,26407,35704,49529,62574,78705
77,PARQUE PATRICIOS,78.0,H,POINT (4197073.066238969 6141085.715733317),2306,2306,3695,9572,10841,16407,20769,27448,34522
78,HOSPITALES,79.0,H,POINT (4196442.833701421 6140813.051079692),3025,3025,3025,4613,13585,16472,20322,25348,31236
83,CORDOBA,84.0,H,POINT (4197600.592952457 6145516.897313865),4001,4001,13421,21616,34170,44925,61292,78103,96065
84,LAS HERAS,85.0,H,POINT (4198291.949919427 6146694.888919007),4956,4956,10431,17136,23730,37015,48689,65152,81211
85,SANTA FE - CARLOS JAUREGUI,86.0,H,POINT (4197757.503609885 6145944.812464906),3626,3626,12298,23833,38536,51219,71303,93956,114052
